place_name,place_address,place_city,place_province,place_postcode,place_country,place_website,place_phone,place_type,place_category,place_subcategory,place_lat,place_lng
Lee Custom Tailors,75 Maiden Lane Fl 3,New York,NY,10038,US,,+1 212 483 1088,Services,Personal,Tailor,40.707703,-74.007783
Maiden Lane Custom Tailors Inc,75 Maiden Ln,New York,NY,10038,US,,+1 212 483 1088,Retail Goods,Shopping,Clothing Apparel & Fashions,40.707557,-74.007558
Maiden Lane Custom Tailors Inc,101 Maiden Ln Rm 204,New York,NY,10038,US,,+1 212 483 1088,Services,Personal,Tailor,40.707001,-74.007103
Alex Tailor Shop,29 John St,New York,NY,10038,US,http://www.yelp.com/biz/alex-tailor-shop-new-york,+1 212 693 0588,Services,Personal,Tailor,40.709599,-74.008499
Mr Rafaels Cleaners & Tailoring,88 Fulton St,New York,NY,10038,US,,+1 212 693 1400,Services,Retail,Laundry & Dry Cleaning,40.709301,-74.005997
Ava Kerolos & William Tailor,198 Broadway,New York,NY,10038,US,,+1 212 267 8762,Services,Retail,Laundry & Dry Cleaning,40.710339,-74.009431
Rja Tailoring & Design Inc,110 Wall St,New York,NY,10005,US,,+1 212 709 8383,Services,Personal,Tailor,40.704754,-74.006515
King's Tailor,40 Water Street,New York,NY,10004,US,,+1 212 785 6668,Services,Personal,Tailor,40.703305,-74.010201
Eddie Sanchez Tailors,26 Broadway,New York,NY,10004,US,,+1 212 809 5335,Services,Personal,Tailor,40.705002,-74.013298
Global Tailor Inc,98 Mott St,New York,NY,10013,US,,+1 212 431 9303,Retail Goods,Shopping,Clothing Apparel & Fashions,40.717432,-73.997231
Sean Kam Tailor,150 Lafayette St,New York,NY,10013,US,,+1 212 785 6668,Retail Goods,Shopping,Clothing Apparel & Fashions,40.719732,-73.999369
Henry Street Custom Tailor,98 Henry St,Brooklyn,NY,11201,US,,+1 718 237 0536,Services,Personal,Tailor,40.697818,-73.992859
OK Tailor Shop,47 Essex St,New York,NY,10002,US,,+1 212 785 6668,Retail Goods,Shopping,Clothing Apparel & Fashions,40.715772,-73.989603
New York Taylor Shop,60 Kenmare St,New York,NY,10012,US,,+1 212 343 8790,Retail Goods,Shopping,Clothing Apparel & Fashions,40.720627,-73.994969
Victor & Tailors,205 Mott St,New York,NY,10012,US,,+1 212 941 0348,Services,Personal,Tailor,40.721493,-73.995517
264 Tailor Shop,264 Broome St,New York,NY,10002,US,,+1 212 274 0273,Retail Goods,Shopping,Clothing Apparel & Fashions,40.7183,-73.990303
Aridio Tailor,125 Allen St Frnt 1,New York,NY,10002,US,,+1 212 477 1023,Services,Personal,Tailor,40.719845,-73.990371
Aridio & Rene Tailors,139 Orchard St,New York,NY,10002,US,,+1 212 358 0899,Retail Goods,Shopping,Clothing Apparel & Fashions,40.719225,-73.989614
Brooklyn Cleaners & Tailor Shop,150 Joralemon St.,Brooklyn,NY,11201,US,,+1 718 752 7850,Services,Retail,Laundry & Dry Cleaning,40.69285,-73.993231
Charlton Cleaners & Tailors,197 Avenue of the Americ,New York,NY,10013,US,,+1 212 255 7065,Services,Retail,Laundry & Dry Cleaning,40.72668,-74.003686
Rene Tailor Shop,164 Orchard Street,New York,NY,10002,US,,+1 212 358 0899,Services,Personal,Tailor,40.721109,-73.988439
Allen Tailoring & Cleaners,150 Allen St,New York,NY,10002,US,,+1 212 475 2454,Retail Goods,Shopping,Clothing Apparel & Fashions,40.721613,-73.989032
Stanton Tailor Shop,90 Stanton St,New York,NY,10002,US,,+1 212 353 9753,Services,Personal,Tailor,40.721488,-73.988625
Marios Tailor Shop,86 Stanton St,New York,NY,10002,US,,+1 212 353 3830,Retail Goods,Shopping,Clothing Apparel & Fashions,40.721652,-73.988804
Hyung Cleaning & Tailoring,335 2 Ave,New York,NY,10003,US,,+1 212 785 6668,Services,Retail,Laundry & Dry Cleaning,40.724028,-73.991035
